,store,address,si,do
32,화곡2호,서울 강서구 화곡동 400-45,서울,강서구
33,봉천2호,서울 관악구 봉천동 1674-20,서울,관악구
34,봉천3호,서울 관악구 봉천동 1632-9,서울,관악구
35,봉천4호,서울 관악구 봉천동 931-12,서울,관악구
36,봉천5호,서울 관악구 봉천3동 7-291,서울,관악구
37,신림1호,서울 관악구 신림4동 504-22,서울,관악구
38,신림2호,서울 관악구 신림동 762-7,서울,관악구
39,신림3호,서울 관악구 신림9동 246-49,서울,관악구
40,건대,서울 광진구 화양동 9-18,서울,광진구
41,광장,서울 광진구 광장동 530-13,서울,광진구
42,구의2호,서울 광진구 구의동 229-43,서울,광진구
43,자양1호,서울 광진구 자양3동 584-28,서울,광진구
44,자양2호,서울 광진구 자양동 624-42,서울,광진구
45,중곡1호,서울 광진구 중곡동 243-1,서울,광진구
46,중곡2호,서울 광진구 중곡동 24-2,서울,광진구
47,개봉1호,서울 구로구 개봉동 403-159,서울,구로구
48,고척1호,서울 구로구 개봉1동 126-4,서울,구로구
49,구로2호,서울 구로구 구로동 74-30,서울,구로구
50,구로디지털,서울 구로구 구로동 826-1,서울,구로구
51,동양미래대학,서울 구로구 고척동 343,서울,구로구
52,신도림1호,서울 구로구 신도림동 410-1 신도림6차대림@상가 902동111호,서울,구로구
53,오류1호,서울 구로구 오류1동 10-3,서울,구로구
54,천왕역,서울 구로구 오류동 203-1 1층,서울,구로구
55,가산디지털,서울 금천구 가산동 371-6 가산비지니스센터 2층,서울,금천구
56,독산1호,"서울 금천구 독산동 888-20 102호,103호",서울,금천구
57,시흥1호,서울 금천구 시흥2동 264-17,서울,금천구
58,시흥2호,서울 금천구 시흥1동 905-5,서울,금천구
59,공릉1호,서울 노원구 공릉동 338-6,서울,노원구
60,공릉2호,서울 노원구 공릉동 461-1,서울,노원구
61,상계4단지,서울 노원구 상계7동 749-5 상계주공@4단지상가101호,서울,노원구
62,상계보람,서울 노원구 상계5동 456-130,서울,노원구
63,석계역,서울 노원구 월계1동 73-13,서울,노원구
64,수락산역,서울 노원구 상계동 1118,서울,노원구
65,중계1호,서울 노원구 중계1동 360-9,서울,노원구
66,중계2호,서울 노원구 중계동 137-39 정진빌라 1층,서울,노원구
67,중계역,서울 노원구 중계2동 503,서울,노원구
68,하계1호,서울 노원구 하계1동 251 청구상가 201동 101호,서울,노원구
69,도봉동,서울 도봉구 도봉2동 623-163,서울,도봉구
70,쌍문1호,서울 도봉구 방학1동 263-75,서울,도봉구
71,쌍문역,서울 도봉구 쌍문3동 88-127,서울,도봉구
72,창3동,서울 도봉구 창동 568-2,서울,도봉구
73,창동,서울 도봉구 창5동 296-37,서울,도봉구
74,경희대,서울 동대문구 회기동 42-16,서울,동대문구
75,답십리1호,서울 동대문구 답십리동 257-3,서울,동대문구
76,서울시립대,서울 동대문구 전농1동 141-141,서울,동대문구
77,신이문,서울 동대문구 이문3동 237-114,서울,동대문구
78,안암,서울 동대문구 제기동 142-8,서울,동대문구
79,장안1호,서울 동대문구 전농3동 1-171,서울,동대문구
80,장안2호,서울 동대문구  장안동 375-3,서울,동대문구
81,청량리역,서울 동대문구 청량리동 50-3,서울,동대문구
82,대방1호,서울 동작구 대방동 20-25 한스빌 105호,서울,동작구
83,사당1호,서울 동작구 사당3동 155-2 1F,서울,동작구
84,사당3호,서울 동작구 사당동 220-119,서울,동작구
85,상도터널,서울 동작구 상도1동 587,서울,동작구
86,신대방,서울 동작구 신대방동 607-28,서울,동작구
87,신대방삼거리,서울 동작구 대방동 407-46,서울,동작구
88,흑석1호,서울 동작구 흑석동 180-6,서울,동작구
89,도화(서울),"서울 마포구 도화동 179-8 1,2층",서울,마포구
90,망원2동,서울 마포구 망원2동 474-15,서울,마포구
91,상암,서울 마포구 상암동 34-45,서울,마포구
92,성산2동,서울 마포구 성산동 592,서울,마포구
93,신공덕,서울 마포구 신공덕동 159(신공덕 래미안상가 1동109호),서울,마포구
94,신수,서울 마포구 신수동 451번지 세양청마루아파트 상가 101호,서울,마포구
95,아현,서울 마포구 아현동 774 마포래미안 푸르지오 101동 상가 114호,서울,마포구
96,연남,서울 마포구 연남동 369-20,서울,마포구
97,홍대,서울 마포구 서교동 371-3,서울,마포구
98,독립문,서울 서대문구 냉천동 228,서울,서대문구
99,명지대,서울 서대문구 남가좌동 344-7,서울,서대문구
100,북가좌1호,서울 서대문구 응암로 11,서울,서대문구
101,북아현1호,서울 서대문구 북아현동 1006,서울,서대문구
102,신촌,서울 서대문구 창천동 41-14,서울,서대문구
103,연희1호(서울),서울 서대문구 연희3동 344-26,서울,서대문구
104,홍은1호,서울 서대문구 홍제동 279-52,서울,서대문구
105,홍은사거리,서울 서대문구 홍제동 326-20,서울,서대문구
106,반포1호,서울 서초구 반포동 1053 H동 26호,서울,서초구
107,방배1호,서울 서초구 방배동 761-8,서울,서초구
108,방배2호,서울 서초구 방배3동 918-4번지,서울,서초구
109,서초1호,서울 서초구 서초동 1357-56,서울,서초구
110,서초2호,서울 서초구 서초동 1669-15,서울,서초구
111,서초3호,서울 서초구 서초동 1579-5,서울,서초구
112,양재1호,서울 서초구 양재동 327-2,서울,서초구
113,잠원1호,서울 서초구 잠원동 15-4,서울,서초구
114,금호역,서울 성동구 금호동4가 1380,서울,성동구
115,성수1호,서울 성동구 성수동2가 235-1,서울,성동구
116,성수역,서울 성동구 성수동2가 289-251,서울,성동구
117,왕십리1호,서울 성동구 하왕십리동 946-15,서울,성동구
118,왕십리도선,서울 성동구 홍익동 131-1,서울,성동구
119,응봉,서울 성동구 응봉동 100 상가내 1층,서울,성동구
120,동덕여대,서울 성북구 하월곡동 17-1,서울,성북구
121,동소문,서울 성북구 동소문동 6가 227 1층,서울,성북구
122,보문역,서울 성북구 보문동2가 40,서울,성북구
123,석관장위,서울 성북구 장위2동 64-129,서울,성북구
124,정릉1호,서울 성북구 정릉4동 285-4,서울,성북구
125,정릉2호,서울 성북구 정릉동 175-24,서울,성북구
126,가락2호,서울 송파구 가락동 75-7,서울,송파구
127,거여가락1호,서울 송파구 가락동 180-9,서울,송파구
128,마천1호,서울 송파구 거여동 32-6,서울,송파구
129,문정법조,서울 송파구 문정동 620 송파푸르지오시티 B09호,서울,송파구
130,방이2호,서울 송파구 방이동 59-1,서울,송파구
131,방이역,서울 송파구 오금동 41-23 성암빌딩 1층,서울,송파구
132,석촌,서울 송파구 석촌동 163-1,서울,송파구
133,송파1호,서울 송파구 송파동 147,서울,송파구
134,위례송파,"서울 송파구 장지동 894 위례아이파크 상가1동 103호, 104호",서울,송파구
135,잠실1호,서울 송파구 잠실본동 313-8,서울,송파구
136,잠실2호,서울 송파구 신천동 11-4,서울,송파구
137,장지,서울 송파구 문정동 102-1,서울,송파구
138,풍납1호,서울 송파구 풍납2동 405번지,서울,송파구
139,목동1호,서울 양천구 목동 797-3,서울,양천구
140,목동2호,서울 양천구 목동 909-8 이화프라자 1층 101호,서울,양천구
141,목동오거리,서울 양천구 목동 940 현대아이파크상가 102,서울,양천구
142,신월2호,서울 양천구 신월7동 972-6,서울,양천구
143,신정1호,서울 양천구 신정1동 1027-2,서울,양천구
144,신트리,서울 양천구 신정동 1267 목동뉴프라자,서울,양천구
145,오목교,서울 양천구 신정동 1296 아이파크 상가 1층,서울,양천구
146,화곡1호,서울 양천구 신월동 23-17,서울,양천구
147,당산1호,서울 영등포구 영등포동8가 76-1 삼환@상가 112호,서울,영등포구
148,대림2호,서울 영등포구 대림3동 783-6,서울,영등포구
149,문래,서울시 영등포구 문래동3가 77-34,서울시,영등포구
150,신길1호,서울 영등포구 신길동 296-14,서울,영등포구
151,신길2호,서울 영등포구 신길7동 674,서울,영등포구
152,여의도,서울 영등포구 여의도동 44-31,서울,영등포구
153,영등포1호,서울 영등포구 도림동 76-24,서울,영등포구
154,동부이촌,서울 용산구 이촌1동 301-153 오성상가 103,서울,용산구
155,보광,서울 용산구 보광동 217-13,서울,용산구
156,용문,서울 용산구 용문동 28-26,서울,용산구
157,후암,서울 용산구 후암동 244-59,서울,용산구
158,구산역,서울 은평구 갈현2동 464-14,서울,은평구
159,대조,서울 은평구 대조동 231 삼성타운 A 101호,서울,은평구
160,불광1동,서울 은평구 불광동 554-1 라비앙프라자1층 101호,서울,은평구
161,신사1동,서울 은평구 신사동 29-13,서울,은평구
162,역촌1호,서울 은평구 역촌동 55-1,서울,은평구
163,연신내,서울 은평구 불광동 484-72,서울,은평구
164,은평뉴타운,서울 은평구 진관동 22 은평뉴타운상가 914-103호,서울,은평구
165,응암1동,서울 은평구 응암동 236-33,서울,은평구
166,증산(서울),서울 은평구 증산동 209-18,서울,은평구
167,대학로,서울 종로구 명륜동4가 113-1,서울,종로구
168,숭인,서울 종로구 숭인2동 183-13,서울,종로구
169,동대문1호,서울 중구 창신동 464-6,서울,중구
170,신당1호,서울 중구 신당동 846,서울,중구
171,망우본동,서울 중랑구 망우동 149-7,서울,중랑구
172,면목1호,서울 중랑구 면목본동 72-43,서울,중랑구
173,면목2호,서울 중랑구 면목2동 191-126,서울,중랑구
174,면목3호,서울 중랑구 면목동 1096-16,서울,중랑구
175,묵동,서울 중랑구 묵동 238-90,서울,중랑구
176,상봉1호,서울 중랑구 상봉1동 268-34,서울,중랑구
177,신내1호,서울 중랑구 신내1동 571-26 1층 상가,서울,중랑구
